CPBT_0001_1_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/CPBT_0001_1_tumor_RNASeq.tar
CPBT_0003_1_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/CPBT_0003_1_tumor_RNASeq.tar
CPBT_0004_1_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/CPBT_0004_1_tumor_RNASeq.tar
CPBT_0005_1_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/CPBT_0005_1_tumor_RNASeq.tar
CPBT_0006_1_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/CPBT_0006_1_tumor_RNASeq.tar
CPBT_0007_1_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/CPBT_0007_1_tumor_RNASeq.tar
CPBT_0008_1_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/CPBT_0008_1_tumor_RNASeq.tar
CPBT_0009_1_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/CPBT_0009_1_tumor_RNASeq.tar
C021_0001_20140916_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0001_20140916_tumor_RNASeq.R1.fastq.gz,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0001_20140916_tumor_RNASeq.R2.fastq.gz
C021_0002_001113_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0002_001113_tumor_RNASeq.R1.fastq.gz,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0002_001113_tumor_RNASeq.R2.fastq.gz
C021_0003_001409_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0003_001409_tumor_RNASeq.R1.fastq.gz,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0003_001409_tumor_RNASeq.R2.fastq.gz
C021_0004_001418_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0004_001418_tumor_RNASeq.R1.fastq.gz,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0004_001418_tumor_RNASeq.R2.fastq.gz
C021_0005_001661_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0005_001661_tumor_RNASeq.R1.fastq.gz,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0005_001661_tumor_RNASeq.R2.fastq.gz
C021_0006_001666_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0006_001666_tumor_RNASeq.R1.fastq.gz,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0006_001666_tumor_RNASeq.R2.fastq.gz
C021_0007_001669_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0007_001669_tumor_RNASeq.R1.fastq.gz,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0007_001669_tumor_RNASeq.R2.fastq.gz
C021_0008_001699_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0008_001699_tumor_RNASeq.R1.fastq.gz,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0008_001699_tumor_RNASeq.R2.fastq.gz
C021_0009_001766_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0009_001766_tumor_RNASeq.R1.fastq.gz,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0009_001766_tumor_RNASeq.R2.fastq.gz
C021_0010_001774_tumor_RNASeq,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0010_001774_tumor_RNASeq.R1.fastq.gz,https://s3-us-west-2.amazonaws.com/cgl-driver-projects-encrypted/treehouse/pnoc-samples/C021_0010_001774_tumor_RNASeq.R2.fastq.gz
